PT [GEV],(1/Nev)*(1/(2*PI*PT))*D2(N)/DPT/DYRAP [GEV**-2]
0.11,1124.1109076144571
0.13,1048.3532624721615
0.15000000000000002,973.5725305767692
0.16999999999999998,901.4432544164115
0.19,832.9406345963223
0.225,723.302521345311
0.275,589.9276476285912
0.32499999999999996,481.6904864010287
0.375,394.5966210658511
0.42500000000000004,324.59066214084936
0.475,268.1664231908602
0.525,222.4780298711221
0.575,185.2872069072475
0.625,154.84904773257742
0.675,129.8107953537755
0.725,109.11612617504588
0.775,91.93929442294106
0.825,77.6273950396179
0.875,65.66246719091967
0.925,55.62916325585771
0.975,47.193575371187464
1.05,36.95732197497767
1.15,26.762997495496016
1.25,19.436968809803062
1.35,14.145522302166412
1.45,10.310699943633056
1.55,7.523807337087911
1.65,5.494483289433349
1.75,4.014071077886233
1.85,2.933340255566166
1.95,2.143208622554032
2.05,1.56551085979123
2.1500000000000004,1.1429956140865651
2.25,0.8338717615386485
2.3499999999999996,0.6077020081777949
2.45,0.44230340349009134
